measure_start,beat_start,measure_end,beat_end,motive,instruments
1,0.0,1,2.0,M1,Cb.
1,2.0,2,0.0,M1,Cb.
2,0.0,2,2.0,M1,Cb.
2,2.0,3,0.0,M1,Cb.
3,0.0,3,2.0,M1,"Vc., Cb."
3,2.0,4,0.0,M1,"Vc., Cb."
4,0.0,4,2.0,M1,"Vc., Cb."
4,2.0,5,0.0,M1,"Vc., Cb."
5,0.0,5,2.0,M1,"Vla., Vc., Cb."
5,2.0,6,0.0,M1,"Vla., Vc., Cb."
6,0.0,6,2.0,M1,"Vla., Vc., Cb."
6,2.0,7,0.0,M1,"Vla., Vc., Cb."
7,0.0,7,2.0,M1,"Vln I, Vln I, Vla., Vc., Cb."
7,2.0,8,0.0,M1,"Vln I, Vln I, Vla., Vc., Cb."
8,0.0,8,2.0,M1,"Vln I, Vln I, Vla., Vc., Cb."
8,2.0,9,0.0,M1,"Vln I, Vln I, Vla., Vc., Cb."
9,0.0,9,2.0,M1,"Vla., Vc., Cb."
9,0.0,13,2.0,M2,Sop Sax
9,0.5,9,0.75,M3,Solo Vc.
9,0.75,9,1.0,M3,Solo Vc.
9,1.0,9,1.25,M3,Solo Vc.
9,1.25,9,1.5,M3,Solo Vc.
9,2.0,10,0.0,M1,"Vla., Vc., Cb."
9,2.5,9,3.0,M3,Solo Vc.
9,3.0,9,3.5,M3,Solo Vc.
10,0.0,10,2.0,M1,"Vla., Vc., Cb."
10,0.5,10,0.75,M3,Solo Vc.
10,0.75,10,1.0,M3,Solo Vc.
10,1.0,10,1.25,M3,Solo Vc.
10,1.25,10,1.5,M3,Solo Vc.
10,2.0,10,2.5,M3,Solo Vc.
10,2.0,11,0.0,M1,"Vla., Vc., Cb."
10,2.5,10,2.75,M3,Solo Vc.
10,2.75,10,3.0,M3,Solo Vc.
10,3.0,10,3.25,M3,Solo Vc.
10,3.25,10,3.5,M3,Solo Vc.
11,0.0,11,2.0,M1,Cb.
11,0.5,11,1.0,M3,Solo Vc.
11,1.0,11,1.25,M3,Solo Vc.
11,1.25,11,1.5,M3,Solo Vc.
11,2.0,11,2.5,M3,Solo Vc.
11,2.0,12,0.0,M1,Cb.
11,2.5,11,3.0,M3,Solo Vc.
11,2.5,12,3.0,M4,Solo Vln
12,0.0,12,0.5,M3,Solo Vc.
12,0.5,12,0.75,M3,Solo Vc.
12,0.75,12,1.0,M3,Solo Vc.
12,1.0,12,1.25,M3,Solo Vc.
12,1.25,12,1.5,M3,Solo Vc.
12,1.5,12,1.75,M3,Solo Vc.
12,1.75,12,2.0,M3,Solo Vc.
12,2.5,13,2.0,M5,"Tpt. 1, Tpt. 2"
12,3.25,13,2.0,M4,Solo Vln
14,0.0,14,2.0,M1,"Vla., Cb."
14,2.0,15,0.0,M1,"Vla., Cb."
14,2.0,16,2.0,M5,"Ob., Cl. 1"
14,2.5,16,0.0,M4,Solo Vln
15,0.0,15,2.0,M1,"Vla., Cb."
15,1.5,17,0.0,M2,Sop Sax
15,2.0,16,0.0,M1,"Vla., Cb."
16,0.0,16,2.0,M1,"Vla., Cb."
16,2.0,17,0.0,M1,"Vla., Cb."
16,2.5,17,2.0,M4,Solo Vln
17,0.0,17,2.0,M1,"Vla., Cb."
17,2.0,18,0.0,M1,"Vla., Cb."
17,2.5,17,2.75,M3,Solo Vc.
17,2.75,17,3.0,M3,Solo Vc.
17,3.0,17,3.25,M3,Solo Vc.
17,3.25,17,3.5,M3,Solo Vc.
18,0.0,18,2.0,M1,Cb.
18,0.5,18,0.75,M3,Solo Vc.
18,0.5,21,0.0,M5,"Sop Sax, Ob., Cl. 2"
18,0.75,18,1.0,M3,Solo Vc.
18,1.0,18,1.75,M3,Solo Vc.
18,1.75,18,2.0,M3,Solo Vc.
18,2.0,18,2.25,M3,Solo Vc.
18,2.25,18,2.5,M3,Solo Vc.
18,2.5,18,2.75,M3,Solo Vc.
18,2.75,18,3.0,M3,Solo Vc.
19,0.0,20,0.0,M6,Vib.
19,0.0,26,0.0,M2,"Solo Vln, Solo Vc."
20,0.0,21,0.0,M6,Vib.
21,0.0,22,0.0,M6,Vib.
22,0.0,23,0.0,M6,Vib.
23,0.0,24,0.0,M6,Vib.
23,0.0,30,0.0,M5,"Sop Sax, Cl. 1, Cl. 2, Tpt. 1, Tpt. 2"
24,0.0,25,0.0,M6,Vib.
25,0.0,26,0.0,M6,"Vib., Fl. 2, Cl. 2"
26,0.0,26,2.0,M1,"Vib., Cb., Bsn."
26,1.5,28,0.0,M4,Solo Vln
26,2.0,27,0.0,M1,"Vib., Cb., Bsn."
27,0.0,27,2.0,M1,"Vib., Cb., Bsn."
27,2.0,28,0.0,M1,"Vib., Cb., Bsn."
28,0.0,28,2.0,M1,Cb.
28,0.25,30,0.0,M4,Solo Vln
28,2.0,29,0.0,M1,Cb.
29,0.0,30,0.0,M1,"Vc., Cb."
30,0.0,30,2.0,M1,"Vc., Cb."
30,0.5,30,1.0,M3,Vln I
30,1.0,30,1.5,M3,Vln I
30,1.5,30,2.0,M3,Vln I
30,2.0,31,0.0,M1,"Vc., Cb."
30,2.5,30,2.75,M3,Vln I
30,2.75,30,3.0,M3,Vln I
30,3.0,30,3.5,M3,Vln I
30,3.5,31,0.0,M3,Vln I
31,0.0,31,2.0,M1,"Vc., Cb."
31,0.5,31,1.0,M3,Vln I
31,1.0,31,1.5,M3,Vln I
31,1.5,31,2.0,M3,Vln I
31,2.0,31,2.5,M3,Vln I
31,2.0,32,0.0,M1,"Vc., Cb."
31,2.5,31,3.0,M3,Vln I
31,3.0,31,3.5,M3,Vln I
32,0.0,32,0.25,M3,Vln I
32,0.0,32,2.0,M1,"Vc., Cb."
32,0.25,32,0.5,M3,Vln I
32,0.5,32,1.0,M3,Vln I
32,1.0,32,1.5,M3,Vln I
32,1.5,32,2.0,M3,Vln I
32,2.0,33,0.0,M1,"Vc., Cb."
32,2.5,32,3.0,M3,Vln I
32,3.0,32,3.5,M3,Vln I
32,3.5,33,0.0,M3,Vln I
33,0.0,33,0.5,M3,Vln I
33,0.0,33,2.0,M1,"Vc., Cb."
33,0.5,33,1.0,M3,Vln I
33,1.0,33,1.5,M3,Vln I
33,2.0,33,2.25,M3,Vln I
33,2.0,34,0.0,M1,"Vc., Cb."
33,2.25,33,2.5,M3,Vln I
33,2.5,33,3.0,M3,Vln I
33,3.0,33,3.5,M3,Vln I
34,0.0,34,2.0,M1,"Vc., Cb."
34,0.5,34,1.0,M3,Vln I
34,1.0,34,1.5,M3,Vln I
34,1.5,34,2.0,M3,Vln I
34,2.0,35,0.0,M1,"Vc., Cb."
34,2.5,34,2.75,M3,Vln I
34,2.75,34,3.0,M3,Vln I
34,3.0,34,3.5,M3,Vln I
34,3.5,35,0.0,M3,Vln I
35,0.0,35,2.0,M1,"Vc., Cb."
35,0.5,35,1.0,M3,Vln I
35,1.0,35,1.5,M3,Vln I
35,1.5,35,2.0,M3,Vln I
35,2.0,35,2.5,M3,Vln I
35,2.0,36,0.0,M1,"Vc., Cb."
35,2.5,35,3.0,M3,Vln I
35,3.0,35,3.5,M3,Vln I
36,0.0,36,0.25,M3,Vln I
36,0.0,36,2.0,M1,"Vc., Cb."
36,0.25,36,0.5,M3,Vln I
36,0.5,36,1.0,M3,Vln I
36,1.0,36,1.5,M3,Vln I
36,1.5,36,2.0,M3,Vln I
36,2.0,37,0.0,M1,"Vc., Cb."
36,2.5,36,3.0,M3,Vln I
36,3.0,36,3.5,M3,Vln I
36,3.5,37,0.0,M3,Vln I
37,0.0,37,0.5,M3,Vln I
37,0.0,37,2.0,M1,"Vc., Cb."
37,0.5,37,1.0,M3,Vln I
37,1.0,37,1.5,M3,Vln I
37,2.0,37,2.25,M3,Vln I
37,2.0,38,0.0,M1,"Vc., Cb."
37,2.25,37,2.5,M3,Vln I
37,2.5,37,3.0,M3,Vln I
37,3.0,37,3.5,M3,Vln I
38,0.0,38,2.0,M1,"Vc., Cb."
38,0.5,38,1.0,M3,Vln I
38,1.0,38,1.5,M3,Vln I
38,1.5,38,2.0,M3,Vln I
38,2.0,39,0.0,M1,"Vc., Cb."
38,2.5,38,2.75,M3,Vln I
38,2.75,38,3.0,M3,Vln I
38,3.0,38,3.5,M3,Vln I
38,3.5,39,0.0,M3,Vln I
39,0.0,39,2.0,M1,"Vc., Cb."
39,0.5,39,1.0,M3,Vln I
39,1.0,39,1.5,M3,Vln I
39,1.5,39,2.0,M3,Vln I
39,2.0,39,2.5,M3,Vln I
39,2.0,40,0.0,M1,"Vc., Cb."
39,2.5,39,3.0,M3,Vln I
39,3.0,39,3.5,M3,Vln I
40,0.0,40,0.25,M3,Vln I
40,0.0,40,2.0,M1,"Vc., Cb."
40,0.25,40,0.5,M3,Vln I
40,0.5,40,1.0,M3,Vln I
40,1.0,40,1.5,M3,Vln I
40,1.5,40,2.0,M3,Vln I
40,2.0,41,0.0,M1,"Vc., Cb."
40,2.5,40,3.0,M3,Vln I
40,3.0,40,3.5,M3,Vln I
40,3.5,41,0.0,M3,Vln I
41,0.0,41,0.5,M3,Vln I
41,0.0,41,2.0,M1,"Vc., Cb."
41,0.5,41,1.0,M3,Vln I
41,1.0,41,1.5,M3,Vln I
41,2.0,41,2.25,M3,Vln I
41,2.0,42,0.0,M1,"Vc., Cb."
41,2.25,41,2.5,M3,Vln I
41,2.5,41,3.0,M3,Vln I
41,3.0,41,3.5,M3,Vln I
42,0.0,42,2.0,M1,"Fl. 2, Cb., Cl. 2"
42,0.0,52,0.0,M6,
42,2.0,43,0.0,M1,"Fl. 2, Cb., Cl. 2"
43,0.0,43,2.0,M1,"Fl. 2, Cb., Cl. 2"
43,2.0,44,0.0,M1,"Fl. 2, Cb., Cl. 2"
44,0.0,44,2.0,M1,"Fl. 1, Cb., Cl. 1"
44,2.0,45,0.0,M1,"Fl. 1, Cb., Cl. 1"
45,0.0,45,2.0,M1,"Fl. 1, Cb., Cl. 1"
45,2.0,46,0.0,M1,"Fl. 1, Cb., Cl. 1"
46,0.0,46,2.0,M1,"Fl. 2, Cb., Cl. 2"
46,2.0,47,0.0,M1,"Fl. 2, Cb., Cl. 2"
47,0.0,47,2.0,M1,"Fl. 2, Cb., Cl. 2"
47,2.0,48,0.0,M1,"Fl. 2, Cb., Cl. 2"
48,0.0,48,2.0,M1,"Fl. 1, Cb., Cl. 1"
48,2.0,49,0.0,M1,"Fl. 1, Cb., Cl. 1"
49,0.0,49,2.0,M1,"Fl. 1, Cb., Cl. 1"
49,2.0,50,0.0,M1,"Fl. 1, Cb., Cl. 1"
50,0.0,50,2.0,M1,"Fl. 2, Cb., Cl. 2"
50,2.0,51,0.0,M1,"Fl. 2, Cb., Cl. 2"
51,0.0,51,2.0,M1,"Fl. 2, Cb., Cl. 2"
51,2.0,52,0.0,M1,"Fl. 2, Cl. 2"
52,0.0,52,2.0,M1,Cb.
52,0.5,52,1.0,M3,Vln I
52,1.0,52,1.5,M3,Vln I
52,1.5,52,2.0,M3,Vln I
52,2.0,53,0.0,M1,Cb.
52,2.5,52,2.75,M3,Vln I
52,2.75,52,3.0,M3,Vln I
52,3.0,52,3.5,M3,Vln I
52,3.5,53,0.0,M3,Vln I
53,0.0,53,2.0,M1,Cb.
53,0.5,53,1.0,M3,Vln I
53,1.0,53,1.5,M3,Vln I
53,1.5,53,2.0,M3,Vln I
53,2.0,53,2.5,M3,Vln I
53,2.0,54,0.0,M1,Cb.
53,2.5,53,3.0,M3,Vln I
53,3.0,53,3.5,M3,Vln I
54,0.0,54,2.0,M1,Cb.
54,0.5,54,1.0,M3,Vln I
54,1.0,54,1.5,M3,Vln I
54,1.5,54,2.0,M3,Vln I
54,2.0,55,0.0,M1,Cb.
54,2.5,54,2.75,M3,Vln I
54,2.75,54,3.0,M3,Vln I
54,3.0,54,3.5,M3,Vln I
54,3.5,55,0.0,M3,Vln I
55,0.0,55,2.0,M1,Cb.
55,0.5,55,1.0,M3,Vln I
55,1.0,55,1.5,M3,Vln I
55,1.5,55,2.0,M3,Vln I
55,2.0,55,2.5,M3,Vln I
55,2.0,56,0.0,M1,Cb.
55,2.5,55,3.0,M3,Vln I
55,3.0,55,3.5,M3,Vln I
56,0.0,56,2.0,M1,Cb.
56,0.5,56,0.75,M3,Vln I
56,0.75,56,1.0,M3,Vln I
56,1.0,56,1.5,M3,Vln I
56,1.5,56,2.0,M3,Vln I
56,2.0,57,0.0,M1,Cb.
56,2.5,56,3.0,M3,Vln I
56,3.0,56,3.5,M3,Vln I
56,3.5,57,0.0,M3,Vln I
57,0.0,57,0.5,M3,Vln I
57,0.0,57,2.0,M1,Cb.
57,0.5,57,1.0,M3,Vln I
57,1.0,57,1.5,M3,Vln I
57,2.0,57,2.25,M3,Vln I
57,2.0,58,0.0,M1,Cb.
57,2.25,57,2.5,M3,Vln I
57,2.5,57,3.0,M3,Vln I
57,3.0,57,3.5,M3,Vln I
58,0.0,58,2.0,M1,Cb.
58,0.5,58,1.0,M3,Vln I
58,1.0,58,1.5,M3,Vln I
58,1.5,58,2.0,M3,Vln I
58,2.0,59,0.0,M1,Cb.
58,2.5,58,2.75,M3,Vln I
58,2.75,58,3.0,M3,Vln I
58,3.0,58,3.5,M3,Vln I
58,3.5,59,0.0,M3,Vln I
59,0.0,59,2.0,M1,Cb.
59,0.5,59,1.0,M3,Vln I
59,1.0,59,1.5,M3,Vln I
59,1.5,59,2.0,M3,Vln I
59,2.0,59,2.5,M3,Vln I
59,2.0,60,0.0,M1,Cb.
59,2.5,59,3.0,M3,Vln I
59,3.0,59,3.5,M3,Vln I
60,0.0,60,2.0,M1,Cb.
60,0.5,60,0.75,M3,Vln I
60,0.75,60,1.0,M3,Vln I
60,1.0,60,1.5,M3,Vln I
60,1.5,60,2.0,M3,Vln I
60,2.0,61,0.0,M1,Cb.
60,2.5,60,3.0,M3,Vln I
60,3.0,60,3.5,M3,Vln I
60,3.5,61,0.0,M3,Vln I
61,0.0,61,0.5,M3,Vln I
61,0.0,61,2.0,M1,Cb.
61,0.5,61,1.0,M3,Vln I
61,1.0,61,1.5,M3,Vln I
61,2.0,61,2.25,M3,Vln I
61,2.0,62,0.0,M1,Cb.
61,2.25,61,2.5,M3,Vln I
61,2.5,61,3.0,M3,Vln I
61,3.0,61,3.5,M3,Vln I
62,0.0,62,2.0,M1,Cb.
62,0.5,62,1.0,M3,Vln I
62,1.0,62,1.5,M3,Vln I
62,1.5,62,2.0,M3,Vln I
62,2.0,63,0.0,M1,Cb.
62,2.5,62,2.75,M3,Vln I
62,2.75,62,3.0,M3,Vln I
62,3.0,62,3.5,M3,Vln I
62,3.5,63,0.0,M3,Vln I
63,0.0,63,2.0,M1,Cb.
63,0.5,63,1.0,M3,Vln I
63,1.0,63,1.5,M3,Vln I
63,1.5,63,2.0,M3,Vln I
63,2.0,63,2.5,M3,Vln I
63,2.0,64,0.0,M1,Cb.
63,2.5,63,3.0,M3,Vln I
